incidnt_num,category,descript,day_of_week,date,time,pd_district,resolution,address,lon,lat,location,id
1.40099416E8,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Friday,01/31/2014 08:00:00 AM +0000,17:00,INGLESIDE,NONE,0 Block of GARRISON AV,-122.413623946206,37.709725805163,"(37.709725805163, -122.413623946206)",1
1.40092426E8,ASSAULT,BATTERY,Friday,01/31/2014 08:00:00 AM +0000,17:45,TARAVAL,"ARREST, CITED",100 Block of FONT BL,-122.47370623066,37.7154876086057,"(37.7154876086057, -122.47370623066)",2
1.4009241E8,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,01/31/2014 08:00:00 AM +0000,15:30,PARK,NONE,0 Block of CASTRO ST,-122.435718550322,37.7686887134351,"(37.7686887134351, -122.435718550322)",3
1.40092341E8,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,01/31/2014 08:00:00 AM +0000,17:50,CENTRAL,"ARREST, CITED",JEFFERSON ST / POWELL ST,-122.412527239682,37.8086250595467,"(37.8086250595467, -122.412527239682)",4
1.40092573E8,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,01/31/2014 08:00:00 AM +0000,19:20,SOUTHERN,"ARREST, BOOKED",0 Block of GRACE ST,-122.414633686589,37.7750814399634,"(37.7750814399634, -122.414633686589)",5
1.46027306E8,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,01/31/2014 08:00:00 AM +0000,17:25,SOUTHERN,NONE,0 Block of MCCOPPIN ST,-122.421324876076,37.7716335058168,"(37.7716335058168, -122.421324876076)",6
1.40092288E8,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,01/31/2014 08:00:00 AM +0000,14:00,RICHMOND,NONE,400 Block of 6TH AV,-122.464337779551,37.7798376142327,"(37.7798376142327, -122.464337779551)",7
1.40092727E8,ASSAULT,BATTERY,Friday,01/31/2014 08:00:00 AM +0000,20:00,CENTRAL,NONE,500 Block of SACRAMENTO ST,-122.401338334577,37.7940182573369,"(37.7940182573369, -122.401338334577)",8
1.40092874E8,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Friday,01/31/2014 08:00:00 AM +0000,19:40,SOUTHERN,"ARREST, CITED",800 Block of MARKET ST,-122.406659517434,37.7850491022697,"(37.7850491022697, -122.406659517434)",9
1.4009283E8,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,01/31/2014 08:00:00 AM +0000,21:35,BAYVIEW,"ARREST, CITED",BACON ST / SAN BRUNO AV,-122.403595293514,37.7276340992506,"(37.7276340992506, -122.403595293514)",10
